question,a,b,c,d,answer,source,id
Loading dose depends on,Volume of distribution,Clearance,Rate of administration,Half life,0,MEDMCQA,405
"A man presents it n rashes on face and also complains of decreased mental function. He is also having few macular lesions on his skin. On CT scan, intracranial calcification was seen. His wife is normal. His 10-year old daughter is also normal but his 6-year old son is also having similar skin lesions. What would be the most likely diagnosis?",Neurofibrornatosis-1,Neurofibromatosis-2,Xeroderma pigmentosum,Autosomal dominant inheritance,3,MEDMCQA,406
"Nerve supply of the mucosa of larynx, from epiglottis to the level of the cords is :",Superior laryngeal,External laryngeal,External laryngeal and recurrent laryngeal,Internal laryngeal and recurrent laryngeal,0,MEDMCQA,407
"In transfacial proportions, the face Is divided into how many segments:",3,5,6,7,1,MEDMCQA,408
Which primary tooth resemble premolar,Upper 1st molar,Lower 1st molar,Upper 2nd molar,Lower 2nd molar,0,MEDMCQA,409
intermediate of kreb cycle used in heme synthesis;,succinyl-CoA,Alpha ketoglutarate,Citrate,Aspaate,0,MEDMCQA,410
A 9 year old boy has steroid dependent nephrotic syndrome for the last 5 year. The patient is markedly cushingoid with blood pressure of 120/86 mmHg and small subcapsular cataracts. The most appropriate therapy of choice is –,Longterm frusemide with enalapril,Cyclophosphamide,Intravenous immunoglobulin,Intravenous pulse corticosteroids,1,MEDMCQA,411
Antibiotic that interferes with DNA function is:,Metronidazole,Nystatin,Tetracycline,Sulphonamides,0,MEDMCQA,412
Risk factors for Coronary artery disease are all except,Smoking,Increased fibrinogen level,Hypertension,Alcohol consumption,3,MEDMCQA,413
"In which of the following conditions oral screen should
not be used:",Nail biting habit,Tongue thrusting,Acute infection of tonsils and adenoids,Thumb sucking,2,MEDMCQA,414
Carotid sinus/baroreceptor is located at the origin of,Common carotid artery,Internal carotid artery,Aorta,External carotid artery,1,MEDMCQA,415
Position of adenoid is in the ?,Hypopharynx,Oropharynx,Trachea,Nasopharynx,3,MEDMCQA,416
Contractile element in myofibril is:,H band,Sarcoplasm,Sarcomere,A line,2,MEDMCQA,417
All of the following about Vitamin D metabolism are true except,25–α hydroxylation takes place in liver,1–α hydroxylation takes place in kidney,Daily requirement in the absence of sun–light is 450-6001U/day,"Williams syndrome is associated with obesity, mental retardation, precocious puberty",3,MEDMCQA,418
Which of the following disorder of mother leads to microcephaly in baby –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,ab,cd,bd,ac,1,MEDMCQA,419
Which of the following show chemical bond with enamel (calcified tissues)?,Composites,Direct filling resins,Polycarboxylate cements,BIS-GMA resins in pit and fissure sealants,2,MEDMCQA,420
Modulus of elasticity of which cement is best to support under complex amalgam restoration?,GIC,ZnPO4,ZOE,Polycarboxylate,1,MEDMCQA,421
All of these are continuous variables except:,Height in cms,Weight in kg,Blood groups A. B. ABO,Age in years and months,2,MEDMCQA,422
Coenzyme A contains which of the following vitamins:,Biotin,Pyridoxine,Pantothenic acid,Niacin,2,MEDMCQA,423
"In the pelvic inlet, which is the shoest anteroposterior diameter?",True conjugate,Obstetric conjugate,Anatomical conjugate,Bispinous diameter,1,MEDMCQA,424
Only tooth in which buccal surface is made of 2 lobes,Upper 1st molar,Lower 1st molar,Upper 2nd molar,Lower 2nd molar,0,MEDMCQA,425
"A 10 year old child presented with headache, vomiting, gait instability and diplopia. On examination he had papilledema and gait ataxia. The most probable diagnosis is –",Hydrocephalus,Brain stem tumour,Suprasellar tumour,Midline posterior fossa tumour,3,MEDMCQA,426
When instrument with primary cutting edge is perpendicular to blade then:,1st digit of 4 digit formula omitted.,2nd digit of 4 digit formula omitted.,3rd digit of 4 digit formula omitted.,4th digit of 4 digit formula omitted.,1,MEDMCQA,427
Not true about fresh frozen plasma,Supplies major coagulation factors,ABO match not required,Should be used in replacement of factors in DIC/Trauma,To be used within 30 minutes of having trauma,3,MEDMCQA,428
What type of fibers are principal fibers of the PDL?,Elastic,Reticular,Collagenous,Collagenous and elastic,2,MEDMCQA,429
Von Willebrand factor is secreted by which of the following?,Macrophages,Endothelial cells,Platelets,Fibroblast,1,MEDMCQA,430
Sodium nitroprusside is metabolized to form an active metabolite. This active metabolized to form an active metabolite. This active metabolite of sodium nitroprusside act activation of:,Phospholipase A,Phospholipase C,Guanylate cyclase,Protein Kinase C,2,MEDMCQA,431
According to Kim and colleagues which of the following describe type IV isthmus?,Two canals with a definite connection between them,Complete or incomplete isthmus between three or more canals,"Very short, complete Isthmus between two canals",Two or three canal openings without visible connections,1,MEDMCQA,432
Classify the class of recession:,Class 1,Class 2,Class 3,Class 4,2,MEDMCQA,433
"An abnormal resorption pattern in primary teeth, delayed
eruption of permanent teeth and a Large tongue are the
features of:",Addison's disease,Hypothyroidism,Hyperthyroidism,Von-Recklinghausen disease,1,MEDMCQA,434
Which of the following disease cause damage of vertebral body & intervertebral space?,Tuberculosis,Multiple myeloma,Lymphoma,Metastasis,0,MEDMCQA,435
The largest commissure of the brain:,Commissure of Ganser,Commissure of Gudden,Corpus callosum,Both (A) & (C),2,MEDMCQA,436
Which types of wooden wedges are commonly available,Triangular,Rectangular,Round,All are common,0,MEDMCQA,437
Minimum age of screening of osteoporosis:,55 years,60 years,65 years,50 years,2,MEDMCQA,438
Which of the following is least likely to cause infective endocarditis:,Staphylococcus albus.,Streptococcus faecalis.,Salmonella typhi.,Pseudomonas aeruginosa.,2,MEDMCQA,439
What is the basis of behavior shaping:,Stimulus response theory,Social learning principle.,Hierarchy of needs,None of the above.,0,MEDMCQA,440
Vesicoureteric reflux is more common in –,Newborn females,Older girls,Older boys,Only during pregnancy,0,MEDMCQA,441
Anti D is required in all cases except,Aboion at 63 days,Manual removal of placenta,Amniocentesis of 16 Weeks,Intrauterine transfusion at 28 weeks,3,MEDMCQA,442
Which characteristic of orthodontic wire describe energy storage capacity?,Range,Resilience,Formability,Proportional limit,1,MEDMCQA,443
A patient gives a history of chuna falling into his eyes. All of the following would be a pa of his immediate management except:,Irritation of both eyes with copious amounts of normal saline,Frequent sodium citrate drops,Thorough slit-lamp examination on presentation,Removal of chuna paicles by double eversion of upper eyelids,2,MEDMCQA,444
A patient has had recurrent optic neuritis bilaterally with transverse myelitis. Visual acuity in right eye is 6/60 and left eye is 6/18. Patient showed a 50% response to steroids. Diagnosis is?,Neuromyelitis Optica,Subacute combined degeneration of spinal cord(SACD),Post cerebral aery stroke,Neuro-syphilis,0,MEDMCQA,445
Fill the missing data in the Ottawa charter for health promotion,Promotion of health services,Reorienting health services,Prevention of disease,Effective health services,1,MEDMCQA,446
All are features of reversible cell injury EXCEPT,ER swelling,Dens deposition of mitochondria,Bleb,Detachment of ribosome,1,MEDMCQA,447
In Prinzmetal’s angina,Generally Right Coronary Artery presents as inferior wall MI,Coronary artery spasm most commonly occurs distal to atherosclerotic area.,"No changes in ECG, Q wave become normal after few hours.",All of the above,3,MEDMCQA,448
A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given:,Ampicillin,Tetracycline,Erythromycin,Co-trimoxazole,2,MEDMCQA,449
A 2 year old premature neonate develops GTCS. What is the best investigation done to diagnose the pathology?,Transcranial ultrasound,CT Head,MRI brain,X-ray,0,MEDMCQA,450
Arestin is:,2% minocycline,1% minocycline,0.5% minocycline,0.1% minocycline,0,MEDMCQA,451
Epstein pearls are:,Gingival cyst of newborn,Gingival cyst of adult,Enamel pearls,Epithelial rests,0,MEDMCQA,452
"Tendon of Gracilis, Sartorius and semitendenous muscles insert on tibia to form Pesanserinus. Similar structure is seen in",TMJ,Parotid,Submandibular gland,Cheek,1,MEDMCQA,453
What is the most reliable site to measure core temperature during general anesthesia?,Pulmonary aery,Distal esophagus,Rectum,Tympanic membrane,3,MEDMCQA,454
Which of the following is a major pattern of accessory canals in mandibular first molar is?,Single furcation canal which is extend from pulp chamber to intra-redicular region,A lateral canal extends from coronal third to furcal region particular in distal canal,Presence of both lateral and furcal canal,Pattern is variable and age dependent,1,MEDMCQA,455
Most common chances of pulpal exposure will be there if pulpal floor is made perpendicular to the long axis of tooth:,Maxillary 1st premolar,Maxillary 1st molar,Mandibular 1st premolar,Mandibular 2nd premolar,2,MEDMCQA,456
Hydatid cyst is:,Parasitic in nature,Fungal,Congenital,Viral,0,MEDMCQA,457
Most common cause of post neonatal mortality is:,Genetic cause,Maternal health during pregnancy,Environmental causes,Conditions effecting in early neonatal period,2,MEDMCQA,458
Regional Odontodysplasia is most common in,Mandibular premolar,Mandibular canine,Mandibular third molar,Maxillary central incisor,3,MEDMCQA,459
A 5-years old child was presented with proptosis. Microscopic examination of the mass revealed a round cell tumor positive for Desmin immunohistochemical marker. Most likely diagnosis is ?,Leukemia,Embryonal rhabdomyosarcoma,Lymphoma,Primitive Neuroectodermal Tumor (PNET),1,MEDMCQA,460
The lateral lingual swellings and tuberculum impar give rise to:,Anterior 1/3 of tongue,Anterior 2/3 of tongue,Posterior 1/3 of tongue,Posterior 2/3 of tongue,1,MEDMCQA,461
Which of the following is the least likely complication of pregnancy-induced hypeension?,Renal failure,Pre-eclampsia,HELLP syndrome,Fetal macrosomia,3,MEDMCQA,462
"A	permanent tooth	bud,	which	has	been	accidentally
removed during extraction of a deciduous tooth, should be:",Discarded,The socket curetted and the tooth bud replanted,Pulpectomy of the tooth bud and placed into the socket,Place deep into the socket from where it was removed,3,MEDMCQA,463
Custom tray is better than stock tray for impression of crown due to following reasons except:,Custom tray is easy to adapt,Stock tray may not record full flange,Custom tray is cheaper,Stock tray can distort easily,2,MEDMCQA,464
To remove working side interference reduce:,Guiding cusps,Supporting cusps,Both of the above.,None.,0,MEDMCQA,465
Process shown in color plate is called:,Mandibular mesial root resection,Mandibular distal root resection,Hemisection.,All of the above,2,MEDMCQA,466
Arterial supply to floor of mouth & suprahyoid muscle is,Lingual artery,Maxillary artery,Inferior alveolar artery,Facial artery,0,MEDMCQA,467
Function of Merkel's cells is:,Tactile sensation,Melanophage,Chemoreceptor,Proprioception,0,MEDMCQA,468
Which of the following metals shows the property of twinning:,Stainless steel,Nickel-titanium alloy,Cobalt chromium,All of the above,1,MEDMCQA,469
Medlar bodies are found in -,Sporotrichosis,Chromoblastomycosis,Mycetoma,Histoplasmosis,1,MEDMCQA,470
Contraindication of band and Loop space maintainer are all except,High caries susceptibility,Single tooth missing in posterior region,Moderate to severe space loss,Lower anterior crowding,1,MEDMCQA,471
Organic component of bone comprises of:,35% collagen,35% noncollagenous protein,65% noncollagenous protein,90% collagen protein,3,MEDMCQA,472
The blood pressure data of 200 persons were collected. The first quaile BP of the data was 94 mm Hg and third quaile was 110 mm. How many patients have blood pressures between the 3rd and 4th quaile?,25,50,100,200,1,MEDMCQA,473
Which of the following will not decrease mother to child transmission of HIV?,Avoid breastfeeding,Vaginal delivery,Zidovudine given to mother antenataly and to neonate after bih,Vitamin A supplementation given to mother,1,MEDMCQA,474
